DATA PEDIDO,DATA ENTREGA,PRODUTO,MEIO,FALHAS,STATUS,MOTIVO,Prazo
20/1/2005,21/4/2005,CONTAS A PAGAR,CNAB,9,Desistiu,NÃO CUMPRIU PRAZO,91
20/1/2005,2/4/2005,COBRANÇA COM REGISTRO,CNAB,7,Desistiu,FALTA ASSISTENCIA TECNICA,72
20/1/2005,20/4/2005,CONTAS A PAGAR,INTERNET,12,Desistiu,MUITA BUROCRACIA,90
20/1/2005,6/2/2005,COBRANÇA COM REGISTRO,CNAB,4,Operando,,17
20/1/2005,11/3/2005,CONTAS A PAGAR,INTERNET,8,Operando,,50
21/1/2005,13/4/2005,CONTAS A PAGAR,CNAB,10,Desistiu,MAU ATENDIMENTO,82
21/1/2005,17/2/2005,CONTAS A PAGAR,INTERNET,5,Operando,,27
24/1/2005,23/3/2005,COBRANÇA COM REGISTRO,CNAB,7,Desistiu,NÃO CUMPRIU PRAZO,58
26/1/2005,18/4/2005,CONTAS A PAGAR,CNAB,9,Desistiu,NÃO CUMPRIU PRAZO,82
26/1/2005,18/4/2005,CONTAS A PAGAR,CNAB,10,Desistiu,NÃO CUMPRIU PRAZO,82
27/1/2005,26/4/2005,CONTAS A PAGAR,CNAB,8,Desistiu,FALTA ASSISTENCIA TECNICA,89
27/1/2005,26/4/2005,CONTAS A PAGAR,CNAB,8,Desistiu,MUITA BUROCRACIA,89
27/1/2005,21/4/2005,CONTAS A PAGAR,CNAB,9,Desistiu,NÃO CUMPRIU PRAZO,84
27/1/2005,20/4/2005,CONTAS A PAGAR,CNAB,9,Desistiu,FALTA DE RETORNO,83
27/1/2005,19/4/2005,CONTAS A PAGAR,CNAB,12,Desistiu,MUITA BUROCRACIA,82
27/1/2005,19/4/2005,CONTAS A PAGAR,CNAB,9,Desistiu,NÃO CUMPRIU PRAZO,82
27/1/2005,18/4/2005,CONTAS A PAGAR,CNAB,9,Desistiu,NÃO CUMPRIU PRAZO,81
27/1/2005,18/4/2005,CONTAS A PAGAR,CNAB,9,Desistiu,NÃO CUMPRIU PRAZO,81
27/1/2005,9/4/2005,CONTAS A PAGAR,CNAB,8,Desistiu,NÃO CUMPRIU PRAZO,72
